reference,upc_ean,designation,description,product_url,image_url,brand,condition,availability,regular_price,current_price,category,stock,norma_shipping_cost
RT32K5030S8/ES,8806088228150,"RT32K5030S8 com Twin Cooling Plus™, 320 L","O  sistema Twin Cooling Plus™, com arrefecimento independente de cada compartimento permite que o ar fresco circule em todos os cantos do equipamento, mantendo a temperatura uniforme e  constante, de forma  a preservar os alimentos frescos com um nível de humidade de até 70%, face aos 30% de um combinado convencional*. Assim, os alimentos permanecem frescos durante mais tempo.",<![CDATA[https://ad.doubleclick.net/ddm/clk/523451367;331504584;e?https://www.samsung.com/pt/refrigerators/top-mount-freezer/321l-look-inox-rt32k5030s8-es/?cid=pt_pd_affiliate_kuantokusta_frigorifico-samsung-com-twin-cooling-plus-prateado-321-l-rt32k5030s8-es_ongoing_da-refrigerator-automatic-feed_pla_none_none]]>,https://images.samsung.com/is/image/samsung/pt-top-mount-freezer-rt32k5030s8-rt32k5030s8-es-001-front-silver?$320_320_PNG$,Samsung,new,in stock,774.90 EUR,619.00 EUR,Produtos | Frigorificos | Frigorificos Duas Portas | Produtos | Eletrodomesticos | Frigorificos | Frigorificos Duas Portas,,0.0 EUR
EP-TA845XBEGWW,8806090104527,Carregador Rápido 45W,,<![CDATA[https://ad.doubleclick.net/ddm/clk/523451364;331504581;y?https://www.samsung.com/pt/smartphones/galaxy-note/?cid=pt_pd_affiliate_kuantokusta_carregador-rapido-45w-ep-ta845xbegww_ongoing_im-accessories-automatic-feed_pla_none_none]]>,https://images.samsung.com/is/image/samsung/pt/galaxy-note10/gallery/pt-charger-2019-power-ep-ta845xbegww-frontblack-176367649?$320_320_PNG$,Samsung,new,in stock,49.90 EUR,49.90 EUR,Produtos | Accessories | Acessorios Mobile,,0.0 EUR
VG-SGSM11S/XC,8806088826479,Tower Stand,"O Suporte Tower Samsung é concebido para ficar bem em qualquer ambiente.
A sua construção toda em metal combina perfeitamente com todos os ambientes e abrilhanta o espaço envolvente.
Um design circular com uma aparência elegante, mas ao mesmo tempo acolhedora.
",<![CDATA[https://ad.doubleclick.net/ddm/clk/523451361;331504578;b?https://www.samsung.com/pt/tv-accessories/tower-stand-vg-sgsm11s-vg-sgsm11s-xc/?cid=pt_pd_affiliate_kuantokusta_suporte-tower-stand-samsung-prata-vg-sgsm11s-xc_ongoing_vd-accessories-automatic-feed_pla_none_none]]>,https://images.samsung.com/is/image/samsung/pt-tower-stand-vg-sgsm11s-vg-sgsm11s-xc-frontsilver-104535456?$320_320_PNG$,Samsung,new,in stock,699.00 EUR,699.00 EUR,Produtos | Accessories | TV Accessorios,,0.0 EUR
VCC45W0S36/XEP,8801643200909,VCC45W0S36 Aspirador sem Saco,"O sistema Twin Chamber™ tem um compartimento para as partículas de pó e outro para a circulação de ar, permitindo melhorar a separação e remoção do pó. A forte sucção faz com que as partículas de pó e detritos passem pela câmara interior de circulação de ar. Essas partículas e detritos são separados do ar através da força centrífuga e colocados na câmara exterior até serem removidos. O pó e os resíduos recolhidos na câmara exterior ficam impedidos de circular no ar ciclónico da câmara interior. Consequentemente evita-se que as partículas de pó mais finas atinjam o filtro pré-motor, que é a principal causa de entupimento.",<![CDATA[https://ad.doubleclick.net/ddm/clk/523451358;331504575;e?https://www.samsung.com/pt/vacuum-cleaners/canister/without-bag-vcc45w0s36/?cid=pt_pd_affiliate_kuantokusta_aspirador-samsung-sem-saco-azul-vcc45w0s36-xep_ongoing_da-vacuum-automatic-feed_pla_none_none]]>,https://images.samsung.com/is/image/samsung/pt-without-bag-sc45w0-vcc45w0s36-xep-frontblue-97519344?$320_320_PNG$,Samsung,new,in stock,114.89 EUR,99.90 EUR,Produtos | Aspirador | Aspirador sem saco | Produtos | Eletrodomesticos | Aspirador | Aspirador sem saco,,0.0 EUR
DW60M6040FW/EC,8806088922980,DW60M6040FW Máquina de Lavar Loiça E,"Com o amplo ecrã LED, de fácil leitura, pode monitorizar e controlar a lavagem da sua loiça. O ecrã permite verificar as configurações, o tempo restante de lavagem e o progresso do ciclo. ",<![CDATA[https://ad.doubleclick.net/ddm/clk/523451355;331504572;y?https://www.samsung.com/pt/dishwashers/freestanding/13-place-settings-white-dw60m6040fw-ec/?cid=pt_pd_affiliate_kuantokusta_maquina-de-lavar-loica-samsung-branco-13-conjuntos-dw60m6040fw-ec_ongoing_da-dishwasher-automatic-feed_pla_none_none]]>,https://images.samsung.com/is/image/samsung/pt-dishwasher-dw60m6040fw-dw60m6040fw-ec-frontwhite-70664897?$320_320_PNG$,Samsung,new,in stock,639.90 EUR,529.00 EUR,Produtos | Maquina de loica | Eficiencia Energetica A++ | Produtos | Eletrodomesticos | Maquina de loica | Eficiencia Energetica A++,,0.0 EUR
MG23K3515AS/EC,8806088219677,"MG23K3515AS Micro-ondas com Grill, 23L","Com a opção Grill+30seg pode gratinar os alimentos de acordo com o seu gosto, obtendo crostas crocantes, sem cozinhar os alimentos em excesso.",<![CDATA[https://ad.doubleclick.net/ddm/clk/523451352;331504569;b?https://www.samsung.com/pt/microwave-ovens/grill/microwave-oven-grill-mg23k3515as/?cid=pt_pd_affiliate_kuantokusta_micro-ondas-samsung-com-grill-23l-prateado-mg23k3515as-ec_ongoing_da-microwave-automatic-feed_pla_none_none]]>,https://images.samsung.com/is/image/samsung/pt-microwave-oven-grill-mg23k3515as-mg23k3515as-ec-Silver-196307706?$320_320_PNG$,Samsung,new,in stock,179.90 EUR,149.90 EUR,Produtos | Micro-ondas | Micro-ondas com Grill | Produtos | Eletrodomesticos | Micro-ondas | Micro-ondas com Grill | Produtos | Eletrodomesticos | Encastre | Micro-ondas | Micro-ondas com Grill,,0.0 EUR
RT50K6335S9/ES,8806088228129,"RT50K6335S9 Frigorífico com Twin Cooling Plus™, 504L","O Twin Cooling  Plus™ cria um ambiente favorável para preservar a comida fresca no frigorífico com 70% de humidade, comparando com os 30% de um aparelho convencional. Mantém os ingredientes frescos durante mais tempo.",<![CDATA[https://ad.doubleclick.net/ddm/clk/523451349;331504566;e?https://www.samsung.com/pt/refrigerators/top-mount-freezer/500l-look-inox-rt50k6335s9-es/?cid=pt_pd_affiliate_kuantokusta_frigorifico-samsung-com-twin-cooling-plus-prateado-500-l-rt50k6335s9-es_ongoing_da-refrigerator-automatic-feed_pla_none_none]]>,https://images.samsung.com/is/image/samsung/pt-top-mount-freezer-rt50k6335s9-rt50k6335s9-es-001-front-silver?$320_320_PNG$,Samsung,new,in stock,1099.90 EUR,859.00 EUR,Produtos | Frigorificos | Frigorificos Duas Portas | Produtos | Eletrodomesticos | Frigorificos | Frigorificos Duas Portas,,0.0 EUR
VG-SCFM65WM/XC,8806088885421,Moldura The Frame Branca 65”,,<![CDATA[https://ad.doubleclick.net/ddm/clk/523451346;331504563;y?https://www.samsung.com/pt/tv-accessories/customizable-frame-vg-scfm65-white-vg-scfm65wm-xc/?cid=pt_pd_affiliate_kuantokusta_moldura-personalizavel-samsung-vg-scfm-branca-65-branco-vg-scfm65wm-xc_ongoing_vd-accessories-automatic-feed_pla_none_none]]>,https://images.samsung.com/is/image/samsung/pt-customizable-frame-vg-scfm65-white-vg-scfm65wm-xc-dynamicwhite-219407719?$320_320_PNG$,Samsung,new,in stock,129.99 EUR,129.99 EUR,Produtos | Accessories | TV Accessorios,,0.0 EUR
VG-SCFN65BM/XC,8801643276065,Moldura The Frame Preta 65”,,<![CDATA[https://ad.doubleclick.net/ddm/clk/523451343;331504560;s?https://www.samsung.com/pt/tv-accessories/customizable-frame-vg-scfm65-black-vg-scfn65bm-xc/?cid=pt_pd_affiliate_kuantokusta_moldura-the-frame-preta-65-vg-scfn65bm-xc_ongoing_vd-accessories-automatic-feed_pla_none_none]]>,https://images.samsung.com/is/image/samsung/pt-customizable-frame-vg-scfm65-black-vg-scfn65bm-xc-dynamicblack-219407816?$320_320_PNG$,Samsung,new,in stock,129.99 EUR,129.99 EUR,Produtos | Accessories | TV Accessorios,,0.0 EUR
VG-SCFN65DP/XC,8801643664695,Moldura The Frame Castanha 65'',,<![CDATA[https://ad.doubleclick.net/ddm/clk/523451340;331504557;v?https://www.samsung.com/pt/tv-accessories/customizable-frame-vg-scfm65-brown-vg-scfn65dp-xc/?cid=pt_pd_affiliate_kuantokusta_moldura-personalizavel-samsung-vg-scfm-castanha-65-castanho-vg-scfn65dp-xc_ongoing_vd-accessories-automatic-feed_pla_none_none]]>,https://images.samsung.com/is/image/samsung/pt-customizable-frame-vg-scfm65-brown-vg-scfn65dp-xc-dynamicbrown-219408337?$320_320_PNG$,Samsung,new,in stock,129.99 EUR,129.99 EUR,Produtos | Accessories | TV Accessorios,,0.0 EUR
RZ32M7115S9/ES,8806088602509,"RZ32M7115S9 Congelador 1 Porta No Frost, 323L, F","A arca vertical tem uma grande capacidade, com as dimensões de bancada, permitindo a integração harmoniosa na sua cozinha. ",<![CDATA[https://ad.doubleclick.net/ddm/clk/523451337;331504554;y?https://www.samsung.com/pt/refrigerators/one-door/315l-stainless-rz32m7115s9-es/?cid=pt_pd_affiliate_kuantokusta_frigorifico-samsung-frigorifico-1-porta-no-frost-prateado-315-l-rz32m7115s9-es_ongoing_da-refrigerator-automatic-feed_pla_none_none]]>,https://images.samsung.com/is/image/samsung/pt-rr7000-rz32m7115s9-es-frontsilver-211149327?$320_320_PNG$,Samsung,new,in stock,944.90 EUR,849.00 EUR,Produtos | Frigorificos | Uma Porta | Produtos | Eletrodomesticos | Frigorificos | Uma Porta,,0.0 EUR
WMN-M20EA/XC,8806088807775,Suporte de Parede “No Gap“,"Com o suporte de parede “No Gap“ pode instalar na parede a TV QLED sem espaço livre entre estas. Com um estética apurada, integra-se de forma perfeita na sua sala de estar.",<![CDATA[https://ad.doubleclick.net/ddm/clk/523451334;331504551;s?https://www.samsung.com/pt/tv-accessories/no-gap-wall-mount-wmn-m20e-wmn-m20ea-xc/?cid=pt_pd_affiliate_kuantokusta_suporte-de-parede-no-gap-samsung-preto-wmn-m20ea-xc_ongoing_none-none-automatic-feed_pla_none_none]]>,https://images.samsung.com/is/image/samsung/pt-no-gap-wall-mount-wmn-m20e-wmn-m20ea-xc-frontblack-150867066?$320_320_PNG$,Samsung,new,out of stock,179.00 EUR,179.00 EUR,Produtos | Accessories | TV Accessorios,,0.0 EUR
RR39M7145S9/ES,8806088602943,"RR39M7145S9 Frigorífico 1 Porta No Frost, 387 L, E","O Frigorífico de 1 Porta tem uma grande capacidade, com as dimensões de bancada, permitindo a integração harmoniosa na sua cozinha. ",<![CDATA[https://ad.doubleclick.net/ddm/clk/523451331;331504548;v?https://www.samsung.com/pt/refrigerators/one-door/385l-stainless-rr39m7145s9-es/?cid=pt_pd_affiliate_kuantokusta_frigorifico-samsung-frigorifico-1-porta-no-frost-prateado-385-l-rr39m7145s9-es_ongoing_da-refrigerator-automatic-feed_pla_none_none]]>,https://images.samsung.com/is/image/samsung/pt-one-door-rr39m-rr39m7145s9-es-frontsilver-211165603?$320_320_PNG$,Samsung,new,in stock,889.91 EUR,799.00 EUR,Produtos | Frigorificos | Uma Porta | Produtos | Eletrodomesticos | Frigorificos | Uma Porta,,0.0 EUR
VC07M25F0WP/EP,8801643975678,VC07M25F0WP Aspirador com Saco," O design leve do aspirador Samsung VC2500 torna-o fácil de manobrar. Graças à sua potência sucção permite um elevado nível de limpeza em carpetes, tapetes e pavimentos duros.",<![CDATA[https://ad.doubleclick.net/ddm/clk/523451328;331504545;y?https://www.samsung.com/pt/vacuum-cleaners/canister/vc2500m/?cid=pt_pd_affiliate_kuantokusta_vc07m25f0wp-aspirador-com-saco-vc07m25f0wp-ep_ongoing_da-vacuum-automatic-feed_pla_none_none]]>,https://images.samsung.com/is/image/samsung/pt-vc2500m-vc07m25f0wp-ep-frontred-172534666?$320_320_PNG$,Samsung,new,in stock,124.89 EUR,109.90 EUR,Produtos | Aspirador | Aspirador com Saco | Produtos | Eletrodomesticos | Aspirador | Aspirador com Saco,,0.0 EUR
DW60R7050FS/EC,8806090116971,DW60R7050FS Máquina de Lavar Loiça D,"Graças ao motor Inverter, esta máquina de loiça trabalha de forma mais suave e silenciosa. Conta ainda com o programa “Silencioso“ que lava um pouco mais devagar mas gera menos 2 decibéis de ruído do que o programa ECO**. ",<![CDATA[https://ad.doubleclick.net/ddm/clk/523451325;331504542;s?https://www.samsung.com/pt/dishwashers/freestanding/14-place-settings-stss-dw60r7050fs-ec/?cid=pt_pd_affiliate_kuantokusta_maquina-de-lavar-loica-samsung-prateado-14-conjuntos-dw60r7050fs-ec_ongoing_da-dishwasher-automatic-feed_pla_none_none]]>,https://images.samsung.com/is/image/samsung/pt-dw60r7050fs-dw60r7050fs-ec-frontsilver-219762783?$320_320_PNG$,Samsung,new,out of stock,849.91 EUR,659.00 EUR,Produtos | Maquina de loica | Eficiencia Energetica A+++ | Produtos | Eletrodomesticos | Maquina de loica | Eficiencia Energetica A+++,,0.0 EUR
DW60R7040FW/EC,8806090116902,DW60R7040FW Máquina de Lavar Loiça D,"Graças ao motor Inverter, esta máquina de loiça trabalha de forma mais suave e silenciosa. Conta ainda com o programa “Silencioso“ que lava um pouco mais devagar mas gera menos 2 decibéis de ruído do que o programa ECO**. ",<![CDATA[https://ad.doubleclick.net/ddm/clk/523451322;331504539;v?https://www.samsung.com/pt/dishwashers/freestanding/13-place-settings-white-dw60r7040fw-ec/?cid=pt_pd_affiliate_kuantokusta_dw60r7040fw-maquina-de-lavar-loica-d-dw60r7040fw-ec_ongoing_da-dishwasher-automatic-feed_pla_none_none]]>,https://images.samsung.com/is/image/samsung/pt-dw7500rm-dw60r7040fw-ec-frontwhite-217294244?$320_320_PNG$,Samsung,new,in stock,749.89 EUR,569.00 EUR,Produtos | Maquina de loica | Eficiencia Energetica A+++ | Produtos | Eletrodomesticos | Maquina de loica | Eficiencia Energetica A+++,,0.0 EUR
LC34H890WJUXEN,8806088780795,34'' UHD Monitor Curvo H890,"O monitor CH89 tem uma resolução de ecrã de 3440x1440—com uma densidade de pixéis 1,7 vezes superior ao Full HD, a WQHD apresenta imagens incrivelmente detalhadas e nítidas, proporcionando um espaço de trabalho mais amplo. Visualize no ecrã mais documentos e páginas web sem fazer scroll ou zoom.",<![CDATA[https://ad.doubleclick.net/ddm/clk/523451319;331504536;y?https://www.samsung.com/pt/support/model/LC34H890WJUXEN/?cid=pt_pd_affiliate_kuantokusta_34-uhd-monitor-curvo-h890-lc34h890wjuxen_ongoing_it-monitor-automatic-feed_pla_none_none]]>,https://images.samsung.com/is/image/samsung/pt-uhd-lc34h890wjuxen-lc34h890wjuxen-frontblack-97734664?$320_320_PNG$,Samsung,new,out of stock,567.28 EUR,567.28 EUR,N/A,,0.0 EUR
LC49J890DKUXEN,8801643205317,49'' UHD Monitor Curvo J890,"O ecrã super amplo Samsung CJ89 de 49 polegadas oferece-lhe uma visualização como nenhum outro.
Com um inovador rácio de aspeto 32:9, este monitor curvo é equivalente a dois monitores de 27 polegadas, o que lhe vai permitir desfrutar de uma visualização imersiva, flexibilidade em multi-tarefa e uma experiência de jogo simplesmente inacreditável.",<![CDATA[https://ad.doubleclick.net/ddm/clk/523451316;331504533;s?https://www.samsung.com/pt/support/model/LC49J890DKUXEN/?cid=pt_pd_affiliate_kuantokusta_49-uhd-monitor-curvo-j890-lc49j890dkuxen_ongoing_it-monitor-automatic-feed_pla_none_none]]>,https://images.samsung.com/is/image/samsung/pt-uhd-lc49j890dkuxen-lc49j890dkuxen-frontblack-97728576?$320_320_PNG$,Samsung,new,out of stock,969.86 EUR,969.86 EUR,N/A,,0.0 EUR
NV75K5571RS/EC,8801643818609,"NV75K5571RS Forno Pirolítico Dual Cook, 75L","A tecnologia “Dual Cook“ dá-lhe total flexibilidade. Pode dividir o forno em dois compartimentos (superior e inferior) que podem ser utilizados de forma independente, com diferentes configurações de temperatura e tempo, ou então pode utilizar a totalidade do forno para pratos de grandes dimensões.",<![CDATA[https://ad.doubleclick.net/ddm/clk/523451307;331504524;s?https://www.samsung.com/pt/cooking-appliances/ovens/electric-oven-nv75k5571rs-ec/?cid=pt_pd_affiliate_kuantokusta_forno-pirolitico-samsung-dual-cook-75l-prateado-nv75k5571rs-ec_ongoing_da-kitchen-automatic-feed_pla_none_none]]>,https://images.samsung.com/is/image/samsung/pt-nv75k5571rs-nv75k5571rs-ec-frontsilver-227242585?$320_320_PNG$,Samsung,new,in stock,729.89 EUR,659.00 EUR,Produtos | Eletrodomesticos | Encastre,,0.0 EUR
NZ64R3747BK/UR,8806090091322,"NZ64R3747BK Placa de indução, Flex Zone","Cozinhe pratos grandes ou múltiplos mais facilmente na Zona Flexível. Esta área ampla, aberta e em forma de retângulo proporciona-lhe muito mais flexibilidade. É suficientemente espaçosa para que possam caber vários tipos de utensílios de cozinha simultaneamente, incluindo alimentos grandes e longos. Desta forma, consegue cozinhar refeições familiares de forma mais fácil e eficiente.","<![CDATA[https://ad.doubleclick.net/ddm/clk/523451304;331504521;m?https://www.samsung.com/pt/cooking-appliances/hobs/induction-hob-with-4-burners-nz64r3747bk-ur/?cid=pt_pd_affiliate_kuantokusta_nz64r3747bk-placa-de-inducao,-flex-zone-preto-nz64r3747bk-ur_ongoing_da-kitchen-automatic-feed_pla_none_none]]>",https://images.samsung.com/is/image/samsung/pt-nz64r3747bk-nz64r3747bk-ur-frontblack-227264804?$320_320_PNG$,Samsung,new,in stock,589.90 EUR,499.00 EUR,Produtos | Eletrodomesticos | Encastre,,0.0 EUR
